dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
42,1800.0,3150000.0,1350000.0,630000.0,2340000.0,234000.0,730000.0,17050000.0,Subang
43,7250.0,13050000.0,1965000.0,725000.0,9425000.0,942500.0,840000.0,69750000.0,Subang
44,3000.0,48000000.0,700000.0,450000.0,3900000.0,480000.0,790000.0,25650000.0,Subang
45,2000.0,3800000.0,1200000.0,460000.0,2600000.0,260000.0,790000.0,25650000.0,Subang
46,4500.0,7875000.0,650000.0,450000.0,5850000.0,585000.0,640000.0,39825000.0,Subang
47,5000.0,8750000.0,5000000.0,1150000.0,6500000.0,650000.0,440000.0,48500000.0,Subang
48,2000.0,3600000.0,500000.0,200000.0,2600000.0,260000.0,590000.0,25650000.0,Subang
49,10000.0,19000000.0,9250000.0,2300000.0,13000000.0,1300000.0,990000.0,83200000.0,Subang
50,8000.0,14000000.0,6000000.0,1840000.0,10400000.0,1040000.0,990000.0,50050000.0,Subang
51,7250.0,12687500.0,1965000.0,725000.0,9425000.0,942500.0,840000.0,69750000.0,Subang
52,5000.0,9000000.0,800000.0,500000.0,6500000.0,700000.0,690000.0,29700000.0,Subang
53,1850.0,3515000.0,500000.0,277500.0,2405000.0,240500.0,377500.0,5400000.0,Subang
54,1600.0,2800000.0,500000.0,240000.0,2080000.0,200000.0,370000.0,14080000.0,Subang
55,1850.0,3237500.0,500000.0,277500.0,2405000.0,185000.0,327500.0,18300000.0,Subang
56,2300.0,4140000.0,500000.0,345000.0,2990000.0,300000.0000000008,510000.0,57500000.0,Subang
57,1700.0,3230000.0,500000.0,255000.0,2210000.0,170000.0,339000.0,11300000.0,Subang
58,5000.0,8750000.0,7000000.0,1150000.0,6500000.0,650000.0,540000.0,43500000.0,Subang
59,8000.0,14000000.0,6000000.0,1840000.0,10400000.0,1040000.0,990000.0,50050000.0,Subang
60,8000.0,14400000.0,6000000.0,1840000.0,10400000.0,1040000.0,990000.0,51700000.0,Subang
61,2000.0,3800000.0,500000.0,200000.0,2600000.0,260000.0,590000.0,67900000.0,Subang
62,10000.0,17500000.0,9250000.0,2300000.0,13000000.0,1300000.0,990000.0,83200000.0,Subang
63,1100.0,1925000.0,500000.0,330000.0,1430000.0,330000.0,520000.0,9900000.0,Subang
64,3000.0,5400000.0,700000.0,690000.0,3900000.0,480000.0,790000.0,24150000.0,Subang
65,5000.0,9500000.0,1000000.0,1150000.0,6500000.0,650000.0,690000.0,31200000.0,Subang
66,5000.0,8750000.0,5500000.0,1150000.0,6500000.0,650000.0,690000.0,44550000.0,Subang
67,3000.0,5250000.0,600000.0,690000.0,3900000.0,390000.0,350000.0,24300000.0,Subang
68,2800.0,5040000.0,500000.0,644000.0,3640000.0,364000.0,330000.0,24150000.0,Subang
69,1200.0,2280000.0,500000.0,120000.0,1560000.0,168000.0,350000.0,9700000.0,Subang
70,2300.0,4025000.0,500000.0,529000.0,2990000.0,299000.0,395000.0,16524492.753623188,Subang
71,1700.0,2975000.0,500000.0,170000.0,2210000.0,221000.0,390000.0,13050000.0,Subang
72,1650.0,2970000.0,500000.0,379500.0,2145000.0,214500.0,380000.0,13050000.0,Subang
73,1800.0,3420000.0,500000.0,414000.0,2340000.0,234000.0,320000.0,15150000.0,Subang
74,4200.0,7350000.0,650000.0,966000.0,5460000.0,546000.0,470000.0,32620000.0,Subang
75,3500.0,6125000.0,700000.0,805000.0,4550000.0,455000.0,400000.0,25250000.0,Subang
