Regency,Tier,Raw_Metric,Original_Row_Index,scaled_log_metric,anomaly_label,anomaly_score,Threat_Level
Tasikmalaya,1. Farmer,4821.428571428572,38,-1.0033426176962543,1,0.23993446404774854,COMPLIANT
Tasikmalaya,1. Farmer,12857.142857142857,39,0.43739752368545853,1,0.2914060449834426,COMPLIANT
Tasikmalaya,1. Farmer,6079.3650793650795,40,-0.6628255574877586,1,0.2564544030873034,COMPLIANT
Tasikmalaya,1. Farmer,13316.326530612245,41,0.48894603777629,1,0.295725752229941,COMPLIANT
Tasikmalaya,1. Farmer,11938.775510204081,42,0.32853472145301743,1,0.27139219368057005,COMPLIANT
Tasikmalaya,1. Farmer,13928.57142857143,43,0.5549790113087404,1,0.2769964184424619,COMPLIANT
Tasikmalaya,1. Farmer,12359.154929577464,44,0.3793693180377391,1,0.27698239777142014,COMPLIANT
Tasikmalaya,1. Farmer,13500.0,45,0.5090694294898307,1,0.28954654674330643,COMPLIANT
Tasikmalaya,1. Farmer,6828.571428571428,46,-0.4921209514313275,1,0.2726444402342935,COMPLIANT
Tasikmalaya,1. Farmer,5350.649350649351,47,-0.8503700284623305,1,0.23562073798467809,COMPLIANT
Tasikmalaya,1. Farmer,12857.142857142857,48,0.43739752368545853,1,0.2914060449834426,COMPLIANT
Tasikmalaya,1. Farmer,13258.92857142857,49,0.4826005262583,1,0.29722311097597764,COMPLIANT
Tasikmalaya,1. Farmer,11938.775510204081,50,0.32853472145301743,1,0.27139219368057005,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,51,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,13315.78947368421,52,0.4888867914164607,1,0.295725752229941,COMPLIANT
Tasikmalaya,1. Farmer,13457.142857142857,53,0.5043985664181596,1,0.2934086413066188,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,54,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,13017.857142857143,55,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Tasikmalaya,1. Farmer,13357.142857142857,56,0.4934417843287005,1,0.2938979737758091,COMPLIANT
Tasikmalaya,1. Farmer,6193.27731092437,57,-0.6355575367744349,1,0.2590247957674887,COMPLIANT
Tasikmalaya,1. Farmer,7001.930501930502,58,-0.45529548871082237,1,0.275109586927266,COMPLIANT
Tasikmalaya,1. Farmer,6589.74358974359,59,-0.5444144534461639,1,0.26416159530043754,COMPLIANT
Tasikmalaya,1. Farmer,12627.551020408164,60,0.4109287193676731,1,0.28008647015860083,COMPLIANT
Tasikmalaya,1. Farmer,6281.318681318681,61,-0.6148238026244051,1,0.2623820226074102,COMPLIANT
Tasikmalaya,1. Farmer,6299.212598425197,62,-0.6106453322179788,1,0.26243995973698486,COMPLIANT
Tasikmalaya,1. Farmer,7113.8996138996135,63,-0.4319921029838124,1,0.2753413091762191,COMPLIANT
Tasikmalaya,1. Farmer,13316.326530612245,64,0.48894603777629,1,0.295725752229941,COMPLIANT
Tasikmalaya,1. Farmer,5285.714285714285,65,-0.868304536874977,1,0.23443908422586318,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,66,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,12686.011904761905,67,0.4177138497788771,1,0.281542797591117,COMPLIANT
Tasikmalaya,1. Farmer,12857.142857142857,68,0.43739752368545853,1,0.2914060449834426,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,69,0.4855651761141839,1,0.2971186817960385,COMPLIANT
