scaled_log_Total rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_log_Total rice purchase (kg),scaled_Total precipitation (%),scaled_Precipitation quality (%),Regency,Regency_encoded
0.9265011440573352,0.0,0.1431219859857254,-0.3246595290491688,0.7375432455207954,0.8270338349729571,2.3529411764705883,1.702127659574468,Subang,3
1.1113063953342788,-1.2945066647715924,0.5441188997708896,1.8927907614423003,0.8491348465750373,0.8637640379806892,2.3529411764705883,1.702127659574468,Subang,3
0.6427414261601974,0.0,0.5824190652062307,0.0,0.8647209778085765,0.8270338349729571,1.4705882352941178,1.0638297872340423,Subang,3
1.0565022220519673,0.0,0.6872408988399078,-0.2031140325249454,0.9394969116087878,0.9430817138209652,1.7647058823529411,1.2765957446808511,Subang,3
1.0735399265473895,0.0,0.7192860701376647,0.3690703909382519,1.20472894875656,1.211595966605842,1.7647058823529411,1.2765957446808511,Subang,3
-2.0408111423045106,-1.4093449700333391,-0.4009968614520013,-0.1479311236047077,-2.0004006198559887,-1.9491400792594349,1.4705882352941178,1.4893617021276595,Tasikmalaya,4
-1.7393366511776702,-1.0,-1.2578746121947582,-0.630929609061748,-1.6873963257268476,-1.7328109207668232,0.2941176470588235,0.425531914893617,Tasikmalaya,4
-1.7113781482593766,-1.0,-0.7137560236674528,0.0,-1.6473838986406233,-1.7328109207668232,1.7647058823529411,1.2765957446808511,Tasikmalaya,4
-1.5043383781931077,-0.6203148091451861,-0.5255014085600356,-0.630929609061748,-1.5691003531205956,-1.595676531488118,0.0588235294117647,0.0425531914893617,Tasikmalaya,4
-1.3423728870883276,-1.0,-0.7137560236674528,0.3690703909382519,-1.509864775921197,-1.4278095563871502,0.5882352941176471,0.6382978723404256,Tasikmalaya,4
-1.3161530249528908,0.0,-0.6809857783551269,-0.5441746049144496,-1.4138967482741154,-1.4278095563871502,0.1176470588235294,-0.1702127659574468,Tasikmalaya,4
-1.073539904241968,-1.53513609059004,-1.2578746121947582,-0.3246595290491688,-1.4039630467294968,-1.2113551431202978,0.2941176470588235,0.2127659574468085,Tasikmalaya,4
-1.090928925428822,-1.53513609059004,-0.7192859288381386,-1.0959024804452533,-1.4039630467294968,-1.2113551431202978,-0.2941176470588235,-0.2127659574468085,Tasikmalaya,4
-1.1739471447060368,-0.6203148091451861,0.0055299068238288,-0.9555887480093402,-1.2123925824424986,-1.2113551431202978,0.0588235294117647,0.1276595744680851,Tasikmalaya,4
-1.13326228589655,0.0,0.6045331382091051,-0.9555887480093402,-1.1910640264957544,-1.1396356195018795,1.1764705882352942,0.6382978723404256,Tasikmalaya,4
-0.9197812704780411,0.0,-0.3954669553629023,0.165956282560088,-1.0717175869201114,-1.0741581029859333,-0.2941176470588235,-0.1276595744680851,Tasikmalaya,4
-0.846670263938229,0.0,0.6872408988399078,-0.2618595215361808,-0.996901438402431,-0.985520653809988,0.8823529411764706,0.425531914893617,Tasikmalaya,4
