scaled_log_Land lease value (IDR),scaled_log_Labor cost (IDR),scaled_log_Seed purchase value (IDR),scaled_log_Fertilizer purchase value (IDR),scaled_log_Pesticide purchase value (IDR),scaled_log_Equipment rent value (IDR),scaled_log_Production value (IDR),scaled_log_Land area (m2),Regency,Regency_encoded
0.1115247743237248,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.5627964536204201,-0.7237449492580538,-0.286386667546044,Garut,0
-0.3456386614452957,-0.2455079717683867,-0.3692013684262558,-0.3891926371388966,-0.3726460013646456,-0.6141246990605879,-0.2733193521202558,-0.3821315988192768,Garut,0
0.2360635677395483,0.2212742093799442,0.2959009945251939,0.2759099575398687,0.2495523135435514,-0.4800373355866784,0.4447245184497225,0.2829063176261923,Garut,0
-0.2753280089718019,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.7585281561878086,-0.2205573469359057,-0.286386667546044,Garut,0
-1.1622963828777606,-0.0825875058661221,-0.3173935486849233,-0.5024753461356359,-0.6311203287966946,-0.588059510379741,-0.6391583702006775,-0.4953577678744467,Garut,0
-1.1622963828777606,-0.0825875058661221,-0.3173935486849233,-0.5024753461356359,-0.6311203287966946,-0.588059510379741,-0.6391583702006775,-0.4953577678744467,Garut,0
-0.0605414895623932,-0.0455739912166894,-0.0518078917798947,-0.0717988898092723,-0.0757269040414663,-0.2382506126667395,-0.6321083229278004,-0.0648133920606915,Garut,0
-0.1622970805151879,0.1132147980067665,-0.0518078917798947,-0.0717988898092723,-0.0757269040414663,0.4902128697899174,0.0295920321665117,-0.0648133920606915,Indramayu,1
-0.1622970805151879,-1.0068209228593312,-0.9131585070283044,-0.9331515634873622,-0.8815124624144574,0.9909721826834536,-0.565468478096973,-0.925592045570671,Indramayu,1
1.021044641596203,0.8743870809979502,0.3788687665649503,0.3588776860045136,0.327168110716981,-0.0857795175523986,0.6156113045927992,0.3658862071597067,Indramayu,1
-1.560423466556414,-1.083591655674007,-1.7040840834095543,-1.724087402363924,-1.6214087266670711,0.0307760499488185,-1.7000564368959876,-1.7136754673116723,Indramayu,1
-0.0762639545835231,-0.3609115324599208,-0.0518078917798947,-0.0717988898092723,-0.0757269040414663,-0.0857795175523986,0.0295920321665117,-0.0648133920606915,Indramayu,1
1.1926551540253951,0.8743870809979502,0.948192828607227,0.9282012376440104,0.8597671569844455,0.4902128697899174,0.833165714301293,0.9353522333685158,Indramayu,1
-0.1622970805151879,-0.3609115324599208,-0.4824838747627679,-0.5024753461356359,-0.4786208010091002,1.0627197090429756,-0.4158478221365818,-0.4953577678744467,Indramayu,1
-0.2868358502018266,-0.634960484181184,-0.9131585070283044,-0.4564294935746775,-0.8815124624144574,0.9909721826834536,-0.8702310800320572,-0.925592045570671,Indramayu,1
0.2245557236620214,-0.3609115324599208,-0.0518078917798947,0.26904430762566,-0.0757269040414663,1.2997612146817092,0.0295920321665117,-0.0648133920606915,Indramayu,1
1.1759938946804318,0.6349613447881508,0.5175157650441414,0.3345084837787004,0.4568714715484157,1.15979961067429,0.6540803986952644,0.5045594442347225,Indramayu,1
0.7359473812424492,1.344061805274125,0.948192828607227,0.9282012376440104,0.8597671569844455,0.4902128697899174,1.1176766148535726,0.9353522333685158,Indramayu,1
0.6386388875601604,0.8743870809979502,0.7265779423115593,0.7065865845625696,0.6524478073571774,0.2517269242288995,0.3451628298164673,0.7136724767923494,Indramayu,1
-0.781053238699203,-0.3609115324599208,-0.6347865450750589,-0.3002791085947114,-0.5398617626984337,0.418150289730383,-0.4575485639700364,-0.5607800584511013,Indramayu,1
-0.7867193806630797,-0.8524850482447959,-1.273416397551183,-1.2934124140202632,-1.2185285620317097,0.9758383585500476,-1.620058652082087,-1.2850286736984964,Indramayu,1
0.7303381810736362,0.8743870809979502,0.4520515380761178,0.4320604107983642,0.3956301124227837,1.079717971536995,0.5831331497401396,0.4390819709209704,Indramayu,1
