scaled_log_Value of milled grains (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_nilaiberashasilgiling,scaled_log_Total revenue of milling machine (IDR),scaled_log_Amount of milled rice (Kg),scaled_log_Number of machines (unit),Regency,Regency_encoded
-1.3253513291124956,-0.3695341801891673,-1.707308127952574,-1.3171570678520477,-1.2493168143914282,-1.355738404206904,-0.5849625007211564,Garut,0
1.555406334617978,1.0972809943230954,0.0,1.5339162310171393,1.5875017537280678,1.5297814044852582,0.4150374992788436,Indramayu,1
0.382122918863013,2.0985382232484877,0.0,0.4549955407440622,0.4581569500648625,0.4108672953540389,1.0,Indramayu,1
1.482695323537311,1.9924497543198647,0.0,1.5552462275910477,1.558729487408846,1.5215570038158577,0.7369655941662059,Indramayu,1
1.0802253236003685,1.0780566626524717,0.0,1.1894743629197206,1.156259436279026,1.1567653469435892,1.2223924213364477,Indramayu,1
0.671187748869462,0.2621886910890213,0.8221367887860644,0.6980278026027358,0.6711878072614057,0.6666383904698213,0.4150374992788436,Indramayu,1
0.5020956629793001,1.8262848746778968,0.0,0.6097682485205719,-0.0696669672920156,0.5786164797312716,0.7369655941662059,Indramayu,1
0.382122918863013,0.8939116257450744,0.0,0.4134491247923452,0.4581569500648625,0.4108672953540389,0.0,Indramayu,1
0.382122918863013,1.932373343189243,0.0,0.4415651907137106,0.4581569500648625,0.4108672953540389,1.2223924213364477,Indramayu,1
0.3965879202305566,1.7290039670058768,0.0,0.3886573573216626,0.4581569500648625,0.4108672953540389,0.7369655941662059,Indramayu,1
0.382122918863013,2.0985382232484877,0.0,0.4119887031076379,0.4581569500648625,0.4108672953540389,1.0,Indramayu,1
0.432083900317066,1.2634458693121096,0.0,0.409823247496156,0.4581569500648625,0.4108672953540389,0.4150374992788436,Indramayu,1
0.382122918863013,2.2687687446007283,0.0,0.4119887031076379,0.4581569500648625,0.4108672953540389,0.4150374992788436,Indramayu,1
0.4218703515502739,1.8262848746778968,0.0,0.4119887031076379,0.4581569500648625,0.4108672953540389,0.7369655941662059,Indramayu,1
0.0930580895516195,1.0972809943230954,0.0,0.1321598765468842,0.1690920949632633,0.1023023034294667,0.7369655941662059,Indramayu,1
-0.1960067383696672,0.5628389469637977,0.8221367887860644,-0.1507740850163159,-0.1199727467719124,-0.1798516064490935,0.7369655941662059,Indramayu,1
-0.7472217302643428,0.7290038152134714,0.8221367887860644,-0.5992137986146776,-0.671187678943772,-0.6270003707668484,0.4150374992788436,Indramayu,1
-0.7472217302643428,-0.2722532956162115,0.5002084267173751,-0.7032116493094025,-0.671187678943772,-0.7011953754960872,0.0,Indramayu,1
0.7158348504181404,0.3594695884947892,-0.0463466113846876,0.6729617191488971,0.7675688933399053,0.6666383904698213,0.7369655941662059,Karawang,2
0.6349011857552669,1.3607267752730887,0.0,0.6160995078731537,0.6711878072614057,0.5924173868445628,0.7369655941662059,Karawang,2
0.1094143974924057,0.4655580469914651,-0.0463466113846876,0.0502315822079845,0.1690920949632633,0.0280846920006814,0.0,Karawang,2
0.1013164266401492,0.4655580469914651,0.1611722425697541,0.0502315822079845,0.1690920949632633,0.0280846920006814,0.0,Karawang,2
-0.0596776874086406,0.4655580469914651,0.3776520869353409,-0.0408528090553299,0.0,-0.0627490745076116,0.7369655941662059,Karawang,2
-0.0760339952959619,0.2621886910890213,0.1611722425697541,-0.1373437351021261,0.0,-0.1369644246448154,0.0,Karawang,2
-0.0517339730628913,0.4655580469914651,0.4536536891765488,-0.0763697587905209,0.0,-0.0981678587325863,0.7369655941662059,Karawang,2
-0.1717067162152827,0.6317229135300978,0.6611726032432951,-0.2063585663308831,-0.1199727467719124,-0.2277947993335002,0.4150374992788436,Karawang,2
