scaled_log_Value of rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_Precipitation quality (%),Regency,Regency_encoded
1.1187366131372385,1.8170595262099556,0.3936823750108706,-0.7770185200815122,0.4746812606187742,2.0,Subang,3
-0.6071854005826439,1.8170595262099556,-0.1382137364483878,-0.490244165130808,-0.2564070001922546,2.0,Subang,3
0.4413233451369132,1.4271249714249978,-0.1751687770068181,0.3612931618843197,0.3470256526118507,2.0,Subang,3
1.134202520972046,0.0,0.3567273327172316,-0.2867744728294178,0.0,2.0,Subang,3
1.265375264111857,1.8170595262099556,0.6368975234794856,0.5992709055299543,0.7034602508489665,1.6666666666666667,Subang,3
-1.3039012090603517,-0.862099225315457,-2.1959506538051494,0.0,-0.3268520914888849,1.6666666666666667,Subang,3
-2.106118948690579,-1.289224142420221,-2.7278463887245925,-1.2672622136978184,-0.4155584721333597,1.6666666666666667,Subang,3
0.0,1.0,-1.525841076763322,0.0,-1.4561029193389687,-0.3333333333333333,Subang,3
-2.106118948690579,-0.2892242171105316,-4.83912975271004,-1.91532793878136,-0.6824009453907657,2.6666666666666665,Subang,3
-0.0164901690726974,1.0,-1.525841076763322,1.6285564364905265,-0.18192366189322,0.0,Subang,3
-0.3801969660954344,0.0,-0.6165588269386689,-0.490244165130808,0.0,2.6666666666666665,Subang,3
0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,Subang,3
0.0,-2.106283519249556,-2.7278463887245925,-0.2867744728294178,0.3230346175774016,-0.3333333333333333,Subang,3
0.255775604054101,1.0,-2.2864566386364022,-0.490244165130808,0.5128140019459375,2.6666666666666665,Subang,3
0.2104982665343414,3.1062838553559766,-1.2866685788893375,-0.2867744728294178,0.6947376646198705,2.6666666666666665,Subang,3
-2.369196553396004,-0.4721647157973544,-1.818564532444736,-1.2672622136978184,-0.8204263889009525,1.6666666666666667,Subang,3
-1.7479577824814507,0.0,-0.6701098175415102,-1.5195282242923225,-1.1280294235598751,0.0,Tasikmalaya,4
0.3165188493694574,-2.106283519249556,0.5318961175324852,-0.490244165130808,-0.0380083676243745,-0.3333333333333333,Tasikmalaya,4
0.6490092308097521,0.0,0.9888108573918236,1.499605296504651,0.0408127069263215,0.6666666666666666,Tasikmalaya,4
-1.1020649362580277,0.0,-0.7547725524552468,-1.341780722005489,-0.7698536913672124,-0.3333333333333333,Tasikmalaya,4
-1.7731099415650409,0.0,-1.0474960664396156,-0.9348417892706214,-1.1050313452530092,0.0,Tasikmalaya,4
1.911268126732821,0.0,0.0,0.8515374920454248,0.689445772018809,0.6666666666666666,Tasikmalaya,4
-1.6068647555238122,-3.106283295178648,-1.85177685593856,-1.2672622136978184,-1.0406662638066486,0.3333333333333333,Tasikmalaya,4
1.292738773754108,0.0,-2.1959506538051494,-0.2522665157881907,0.596084091813974,2.0,Tasikmalaya,4
0.2242551972874377,0.0,0.6864059375810511,-0.6480674932592371,-0.184740492706516,0.6666666666666666,Tasikmalaya,4
3.992525021653312,3.1062838553559766,2.129526552114114,2.3222706328242597,2.107211076552011,0.6666666666666666,Tasikmalaya,4
-1.7731099415650409,-1.289224142420221,0.0640037770878834,-0.9804880945042465,-1.0928487405205891,0.0,Tasikmalaya,4
0.0,0.0,1.6948465178369194,1.674202799190017,1.342490997308479,0.6666666666666666,Tasikmalaya,4
0.0,0.0,1.6894295081051665,1.674202799190017,1.5277694558086763,0.3333333333333333,Tasikmalaya,4
0.0,0.0,0.5958998972231804,0.2034697512407677,0.7613652815365897,0.6666666666666666,Tasikmalaya,4
0.0,-0.5984102432909928,0.0,0.2034697512407677,-0.1781872996380706,1.0,Tasikmalaya,4
0.0,0.0,1.2534564109635564,0.2034697512407677,0.5652302909779487,0.6666666666666666,Tasikmalaya,4
0.0,0.0,1.2534564109635564,0.2034697512407677,0.6202543258816865,0.6666666666666666,Tasikmalaya,4
0.0,0.0,0.0,0.5992709055299543,0.6460692357169165,0.6666666666666666,Tasikmalaya,4
0.0,0.0,0.0,1.183958420403893,0.9741427452042116,0.3333333333333333,Tasikmalaya,4
0.0,0.0,1.5956884011832742,0.7282220333911477,1.0638329662141188,0.6666666666666666,Tasikmalaya,4
0.0,0.0,1.797905933806831,1.4707329963772653,1.199695946022758,0.3333333333333333,Tasikmalaya,4
2.1691592631723355,1.0,0.0,1.1383120591778852,0.8552227497173391,0.6666666666666666,Tasikmalaya,4
0.5960229548370463,-1.289224142420221,0.5318961175324852,-0.2867744728294178,-0.14111095504009,2.6666666666666665,Tasikmalaya,4
0.7898706574142496,-2.106283519249556,0.0162960755025439,0.4902442830095795,0.1411109552157537,1.0,Tasikmalaya,4
1.0734592754527983,0.0,-0.2988871460831976,-0.2867744728294178,0.1819236621859885,0.6666666666666666,Tasikmalaya,4
1.49893358196291,-3.106283295178648,0.4413900780422153,0.3612931618843197,0.3070242061031752,0.6666666666666666,Tasikmalaya,4
-1.3942509627257225,-3.106283295178648,0.0,-0.4445978304275245,-1.395830911525834,2.6666666666666665,Tasikmalaya,4
-0.2139517762354545,0.0,0.9092824301994724,0.3612931618843197,-0.3780586511317461,1.3333333333333333,Tasikmalaya,4
